time,cell_voltages_a[0],cell_voltages_a[1],cell_voltages_a[2],cell_voltages_a[3],cell_voltages_a[4],cell_voltages_a[5],cell_voltages_a[6],cell_voltages_a[7],cell_voltages_a[8],cell_voltages_a[9],cell_voltages_a[10],cell_voltages_a[11],cell_voltages_a[12],cell_voltages_a[13],cell_voltages_a[14],cell_voltages_a[15],cell_voltages_a[16],cell_voltages_a[17],cell_voltages_a[18],cell_voltages_a[19]
0.168100,1319.960400,1319.940601,1211.966578,1406.223214,1258.456595,41.887136,5.005117,1327.321712,1325.781566,1319.881205,1319.874606,1319.868006,1319.861407,1319.854808,1319.848208,1319.841609,625.737860,1161.092388,1297.220294,1299.416765
0.168200,1319.960400,1319.940601,1205.090251,1397.606203,1258.456595,167.502615,-1.443796,2655.703488,1319.861285,1319.881205,1319.874606,1319.868006,1319.861407,1319.854808,1319.848208,1319.841609,501.332934,1134.465911,1305.499463,1307.695893
0.168300,1319.960400,1325.560080,1240.174705,0.000000,1313.032100,292.952789,18.283336,2672.255560,1310.371524,1340.979031,1340.972326,1340.965621,1340.958916,1340.952211,1340.945507,1340.938802,376.433253,0.000000,1160.732020,1164.426308
0.168400,1319.960400,1296.463066,1254.638904,0.000000,1319.914203,418.113853,12.672753,2686.699129,1290.650867,1354.319895,1353.064469,1350.994849,1348.446667,1345.759923,1343.274692,1341.326837,251.162078,0.000000,1162.835474,1162.829660
0.168500,1325.579963,1284.475519,1270.767404,1361.951677,1347.767461,542.862290,19.502996,1342.630704,1289.832236,1354.319895,1353.064469,1350.994849,1348.446667,1345.759923,1343.274692,1341.326837,125.643036,1325.655622,1143.673754,1147.368128
0.168600,1308.031968,1273.375371,1244.010899,1357.835534,1388.847794,667.074987,26.624127,2671.286263,1289.832236,1343.834680,1342.579306,1340.509739,1337.961610,1335.274918,1332.789739,1330.841937,0.000000,1319.735904,1119.029375,1122.723872
0.168700,1308.031968,1273.375371,1238.298267,1360.907332,1388.847794,790.629362,21.680975,2689.404260,1289.832236,1337.384159,1336.128817,1334.059283,1331.511185,1328.824525,1326.339379,1324.391609,-125.643036,1310.247045,1110.965272,1110.959717
0.168800,1308.031968,1273.375371,1272.783985,1367.399852,1319.914203,913.403480,28.903539,2706.491818,1289.832236,1319.609467,1318.354215,1316.284769,1313.736761,1311.050190,1308.565133,1306.617451,-251.162078,1330.339803,1179.179490,1179.173594
0.168900,1308.031968,1273.375371,1245.685222,1358.383288,1319.914203,1035.276180,36.358695,2722.782682,1319.887804,1319.881205,1319.874606,1319.868006,1319.861407,1319.854808,1319.848208,1319.841609,-376.433253,1327.218542,1155.595470,1159.289784
0.169000,1308.031968,1273.375371,1242.341253,1409.917600,1319.914203,1156.127188,30.797635,2740.383617,1319.887804,1319.881205,1319.874606,1319.868006,1319.861407,1319.854808,1319.848208,1319.841609,-501.332934,1306.770801,1149.297826,1152.992171
0.169100,1308.031968,1273.375371,1253.916118,1392.918487,1319.914203,1275.837237,27.242757,2757.772908,1340.985736,1319.881205,1319.874606,1319.868006,1319.861407,1319.854808,1319.848208,1319.841609,-625.737860,1318.013705,1169.621145,1169.615297
